player_name,team,age,matches_played,matches_started,minutes_played,own_goals,goals,assists,shots,shots_on_target,shot_distance,free_kicks,penalty_kicks,pass_attempted,pass_completed,pass_distance,pass_final_third,pass_18_yard,crosses_18_yard,pass_before_shot,corner_kicks,chance_created,shot_creation_actions,goal_creation_actions,blocks,interceptions,aerial_battles_won,aerial_battles_lost,touches_defensive_pen,touches_defensive_third,touches_attacking_pen,touches_attacking_third,yellow_card,yellow_card_2nd,red_card,fouls_commited,fouls_drawn,offsides,penalty_won,penalty_conceded
Cameron Archer,Aston Villa,21,6,0,49,0,0,0,0,0,0,0,0,24,16,216,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,14,0,0,0,4,2,2,0,0
Alphonse Areola,West Ham,29,2,0,107,0,0,0,0,0,0,0,0,35,24.2,710,0,0,0,0,0,0,0,0,0,0,0,0,34.2,35.8,0,0,0,0,0,0.83,0,0,0,0.83
Joe Aribo,Southampton,26,19,11,1094,0,2,0,1.07,0.66,10.7,0,0,29,21.1,267.7,1.56,0.74,0,0.74,0,0.74,2.13,0.08,2.13,0.66,2.21,2.95,0.9,6.48,3.69,17.4,0.16,0,0,0.74,0.9,0,0,0
Adam Armstrong,Southampton,26,20,12,1027,0,1,0.09,1.67,0.79,16.8,0,0,22.1,16.2,244.6,0.96,0.79,0.18,0.88,0,0.88,1.58,0.09,2.28,0.26,0.26,1.23,0.61,4.74,3.16,16,0,0,0,0.96,0.61,0.09,0,0
Stuart Armstrong,Southampton,30,18,7,767,0,1,0,1.53,0.35,18.4,0,0,43.2,34.2,538.4,3.06,2.47,0.59,1.41,0,1.5299999999999998,4.24,0,2.12,0.35,0.59,0.59,1.06,9.29,2.35,23.5,0.35,0,0,1.18,1.29,0.12,0,0
Kepa Arrizabalaga,Chelsea,28,14,14,1215,0,0,0,0,0,0,0,0,37.5,32.1,677.3,0.37,0,0,0,0,0,0.07,0,0,0,0.37,0.07,31.6,39.9,0,0,0,0,0,0,0.3,0,0,0
Pierre-Emerick Aubameyang,Chelsea,33,11,4,433,0,1,0,2.08,1.04,15.3,0,0,17.9,12.7,171,0.42,0.42,0.21,0.63,0,0.63,1.25,0,0.42,0.42,0.21,1.88,1.25,3.13,3.33,12.1,0.21,0,0,0.83,0.21,0,0,0
Ludwig Augustinsson,Aston Villa,28,3,1,77,0,0,0,2.22,1.11,12.7,0,0,47.8,28.9,467.8,0,0,0,0,0,0,0,0,0,0,4.44,1.11,3.33,21.1,2.22,18.9,1.11,0,0,1.11,3.33,0,0,0
Serge Aurier,Nott'ham Forest,30,14,12,1082,0,1,0,0.5,0.17,13.6,0,0,49.3,33.6,515.8,1.92,0.83,0.5,0.75,0,0.83,1.58,0,3,1.5,2.5,1.33,5.08,24.5,0.75,15.5,0.17,0,0,0.67,1.33,0,0,0
Taiwo Awoniyi,Nott'ham Forest,25,16,9,730,0,4,0,2.35,0.99,11.9,0,0,15.3,11.1,129.5,0.37,0.12,0,0.99,0,1.1099999999999999,2.1,0.12,1.73,0.12,0.86,3.7,1.23,4.2,3.46,14,0,0,0,0.99,1.23,0.86,0,0
André Ayew,Nott'ham Forest,33,2,0,29,0,0,0,0,0,0,0,0,6.67,6.67,60,0,0,0,0,0,0,0,0,0,0,3.33,6.67,3.33,3.33,0,0,0,0,0,0,3.33,0,0,0
Jordan Ayew,Crystal Palace,31,22,18,1497,0,1,0.06,0.78,0.36,15.1,0,0,28.1,21.4,280.2,0.9,0.3,0.18,0.96,0,1.2,2.71,0.18,2.4,0.48,1.69,3.55,1.93,6.99,2.53,17.3,0.06,0,0,1.87,2.77,0.06,0,0
Luke Ayling,Leeds United,31,14,7,704,0,0,0.13,0.9,0.13,18.3,0,0,49.2,33.1,533.6,3.33,1.15,0.51,0.51,0,0.51,1.67,0.13,4.36,1.54,3.08,2.95,2.82,20.6,2.18,16.3,0.13,0,0,0.9,1.92,0.13,0,0
César Azpilicueta,Chelsea,33,18,10,1023,0,0,0,0.44,0.09,20.5,0,0,67.7,54.6,811.1,2.28,1.23,0.26,0.79,0,0.79,1.49,0.09,3.34,1.23,1.93,1.32,5.61,27.8,1.23,19.1,0.26,0,0,1.49,0.35,0.09,0,0
